distribution,namespace,exported_symbol,owning_module,object_kind,source_module,is_reexport
zeromodel,zeromodel.core,BUNDLE_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,CANONICAL_METRICS,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,LAYOUT_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,LayoutRecipe,zeromodel.core,Class,zeromodel.core.artifact,true
zeromodel,zeromodel.core,MANIFEST_NAME,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,MATRIX_BLOB_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,MatrixBlob,zeromodel.core,Class,zeromodel.core.matrix_blob,true
zeromodel,zeromodel.core,PNG_SIGNATURE,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,POLICY_LUA_FORMAT,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,POLICY_PLAN_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,POLICY_TRANSITION_EVIDENCE_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,POLICY_TRANSITION_SPEC_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,PROTOTYPE_UNIVERSE_IDENTITY_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,PolicyLookupDecision,zeromodel.core,Class,zeromodel.core.policy_lookup,true
zeromodel,zeromodel.core,PolicyTransitionEvidence,zeromodel.core,Class,zeromodel.core.policy_transitions,true
zeromodel,zeromodel.core,PolicyTransitionSpec,zeromodel.core,Class,zeromodel.core.policy_transitions,true
zeromodel,zeromodel.core,PrototypeUniverseIdentity,zeromodel.core,Class,zeromodel.core.content_identity,true
zeromodel,zeromodel.core,ROW_UNION_TRANSITION_SCOPE,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,SPEC_VERSION,zeromodel.core,Constant,zeromodel.core,false
zeromodel,zeromodel.core,ScoreTable,zeromodel.core,Class,zeromodel.core.artifact,true
zeromodel,zeromodel.core,SignReader,zeromodel.core,Class,zeromodel.core.policy_lookup,true
zeromodel,zeromodel.core,UnresolvedArtifactIdentity,zeromodel.core,Class,zeromodel.core.content_identity,true
zeromodel,zeromodel.core,VPMArtifact,zeromodel.core,Class,zeromodel.core.artifact,true
